,vote
0,biden
1,trump
2,biden
3,biden
4,biden
5,biden
6,trump
7,biden
8,trump
9,trump
10,trump
11,trump
12,trump
13,biden
14,trump
15,biden
16,trump
17,trump
18,trump
19,biden
20,trump
21,biden
22,trump
23,trump
24,biden
25,trump
26,trump
27,biden
28,trump
29,trump
30,biden
31,biden
32,biden
33,trump
34,trump
35,trump
36,biden
37,biden
38,trump
39,trump
40,trump
41,biden
42,biden
43,biden
44,trump
45,trump
46,biden
47,biden
48,biden
49,biden
50,biden
51,biden
52,biden
53,trump
54,biden
55,trump
56,biden
57,trump
58,trump
59,trump
60,biden
61,trump
62,trump
63,biden
64,trump
65,trump
66,biden
67,trump
68,biden
69,trump
70,biden
71,trump
72,biden
73,biden
74,trump
75,trump
76,trump
77,trump
78,biden
79,trump
80,biden
81,biden
82,biden
83,biden
84,trump
85,trump
86,biden
87,trump
88,trump
89,biden
90,trump
91,biden
92,biden
93,trump
94,biden
95,trump
96,biden
97,biden
98,trump
99,biden
100,biden
101,trump
102,trump
103,biden
104,trump
105,biden
106,trump
107,trump
108,biden
109,biden
110,biden
111,trump
112,trump
113,biden
114,trump
115,trump
116,trump
117,trump
118,biden
119,biden
120,trump
121,biden
122,trump
123,biden
124,trump
125,biden
126,trump
127,trump
128,biden
129,trump
130,biden
131,trump
132,trump
133,trump
134,biden
135,trump
136,trump
137,biden
138,trump
139,biden
140,trump
141,biden
142,trump
143,trump
144,biden
145,biden
146,trump
147,trump
148,trump
149,trump
150,biden
151,trump
152,trump
153,trump
154,trump
155,biden
156,biden
157,biden
158,trump
159,trump
160,biden
161,biden
162,trump
163,biden
164,trump
165,biden
166,biden
167,biden
168,trump
169,biden
170,trump
171,biden
172,trump
173,biden
174,trump
175,biden
176,biden
177,biden
178,biden
179,biden
180,trump
181,trump
182,biden
183,biden
184,biden
185,biden
186,biden
187,biden
188,trump
189,biden
190,biden
191,biden
192,trump
193,trump
194,trump
195,biden
196,trump
197,trump
198,trump
199,biden
200,biden
201,trump
202,trump
203,biden
204,biden
205,trump
206,trump
207,trump
208,trump
209,trump
210,trump
211,trump
212,biden
213,trump
214,trump
215,trump
216,trump
217,biden
218,trump
219,biden
220,biden
221,biden
222,trump
223,biden
224,trump
225,biden
226,trump
227,trump
228,trump
229,trump
230,trump
231,biden
232,biden
233,biden
234,trump
235,trump
236,trump
237,trump
238,biden
239,biden
240,trump
241,trump
242,trump
243,trump
244,trump
245,trump
246,biden
247,trump
248,biden
249,trump
250,trump
251,trump
252,biden
253,biden
254,biden
255,trump
256,trump
257,biden
258,trump
259,biden
260,biden
261,trump
262,biden
263,trump
264,biden
265,biden
266,biden
267,biden
268,biden
269,trump
270,trump
271,trump
272,biden
273,trump
274,trump
275,biden
276,trump
277,biden
278,biden
279,biden
280,trump
281,trump
282,trump
283,trump
284,biden
285,biden
286,trump
287,biden
288,biden
289,biden
290,trump
291,biden
292,trump
293,trump
294,trump
295,trump
296,trump
297,biden
298,trump
299,trump
300,biden
301,trump
302,trump
303,trump
304,biden
305,biden
306,trump
307,biden
308,biden
309,trump
310,trump
311,biden
312,trump
313,biden
314,trump
315,trump
316,trump
317,biden
318,biden
319,biden
320,trump
321,trump
322,biden
323,trump
324,biden
325,biden
326,trump
327,trump
328,biden
329,biden
330,trump
331,biden
332,trump
333,biden
334,trump
335,trump
336,trump
337,biden
338,biden
339,trump
340,trump
341,biden
342,biden
343,trump
344,biden
345,biden
346,trump
347,biden
348,trump
349,trump
350,biden
351,trump
352,trump
353,biden
354,trump
355,trump
356,trump
357,biden
358,biden
359,trump
360,biden
361,biden
362,trump
363,biden
364,trump
365,trump
366,biden
367,biden
368,biden
369,trump
370,trump
371,biden
372,biden
373,biden
374,trump
375,trump
376,trump
377,biden
378,biden
379,trump
380,trump
381,trump
382,trump
383,biden
384,biden
385,trump
386,biden
387,biden
388,biden
389,biden
390,biden
391,biden
392,trump
393,trump
394,biden
395,trump
396,biden
397,biden
398,biden
399,biden
400,biden
401,biden
402,trump
403,biden
404,trump
405,trump
406,trump
407,biden
408,biden
409,biden
410,trump
411,trump
412,biden
413,trump
414,biden
415,biden
416,biden
417,trump
418,trump
419,trump
420,trump
421,biden
422,biden
423,biden
424,trump
425,biden
426,trump
427,biden
428,trump
429,biden
430,trump
431,trump
432,trump
433,trump
434,trump
435,biden
436,biden
437,biden
438,biden
439,trump
440,biden
441,trump
442,trump
443,trump
444,biden
445,trump
446,biden
447,biden
448,biden
449,trump
450,trump
451,biden
452,trump
453,biden
454,biden
455,trump
456,biden
457,trump
458,biden
459,trump
460,biden
461,trump
462,trump
463,trump
464,trump
465,trump
466,biden
467,trump
468,trump
469,biden
470,trump
471,biden
472,biden
473,trump
474,trump
475,trump
476,trump
477,trump
478,biden
479,biden
480,trump
481,biden
482,biden
483,trump
484,biden
485,trump
486,biden
487,biden
488,trump
489,biden
490,trump
491,biden
492,biden
493,trump
494,biden
495,biden
496,biden
497,biden
498,trump
499,trump
500,trump
501,biden
502,biden
503,trump
504,biden
505,trump
506,trump
507,biden
508,biden
509,biden
510,biden
511,biden
512,biden
513,trump
514,trump
515,trump
516,trump
517,biden
518,trump
519,biden
520,trump
521,biden
522,biden
523,trump
524,trump
525,biden
526,biden
527,biden
528,trump
529,trump
530,biden
531,trump
532,biden
533,trump
534,trump
535,biden
536,biden
537,biden
538,trump
539,biden
540,biden
541,trump
542,biden
543,trump
544,biden
545,biden
546,trump
547,biden
548,biden
549,trump
550,trump
551,trump
552,biden
553,biden
554,trump
555,biden
556,biden
557,trump
558,biden
559,trump
560,biden
561,biden
562,trump
563,biden
564,trump
565,biden
566,biden
567,trump
568,trump
569,biden
570,trump
571,trump
572,trump
573,biden
574,biden
575,trump
576,trump
577,biden
578,trump
579,trump
580,trump
581,trump
582,trump
583,trump
584,trump
585,biden
586,trump
587,trump
588,trump
589,biden
590,biden
591,trump
592,trump
593,biden
594,biden
595,trump
596,biden
597,trump
598,biden
599,biden
600,trump
601,biden
602,trump
603,trump
604,trump
605,biden
606,trump
607,trump
608,biden
609,biden
610,trump
611,biden
612,biden
613,biden
614,biden
615,biden
616,trump
617,biden
618,trump
619,biden
620,biden
621,trump
622,biden
623,biden
624,trump
625,biden
626,trump
627,biden
628,biden
629,biden
630,biden
631,trump
632,trump
633,trump
634,trump
635,biden
636,biden
637,trump
638,biden
639,biden
640,biden
641,trump
642,biden
643,trump
644,trump
645,trump
646,biden
647,biden
648,trump
649,biden
650,trump
651,biden
652,trump
653,biden
654,trump
655,biden
656,trump
657,trump
658,biden
659,trump
660,trump
661,biden
662,biden
663,trump
664,biden
665,biden
666,trump
667,trump
668,biden
669,trump
670,biden
671,trump
672,biden
673,trump
674,trump
675,trump
676,biden
677,biden
678,biden
679,biden
680,trump
681,biden
682,trump
683,trump
684,trump
685,trump
686,biden
687,biden
688,biden
689,biden
690,trump
691,biden
692,trump
693,trump
694,trump
695,trump
696,biden
697,biden
698,trump
699,biden
700,trump
701,biden
702,biden
703,biden
704,trump
705,trump
706,trump
707,biden
708,biden
709,biden
710,trump
711,biden
712,biden
713,biden
714,trump
715,biden
716,biden
717,trump
718,biden
719,biden
720,biden
721,biden
722,biden
723,biden
724,trump
725,trump
726,trump
727,trump
728,trump
729,trump
730,trump
731,biden
732,trump
733,trump
734,biden
735,biden
736,trump
737,trump
738,trump
739,trump
740,trump
741,trump
742,trump
743,biden
744,trump
745,trump
746,biden
747,biden
748,biden
749,biden
750,biden
751,trump
752,biden
753,trump
754,trump
755,biden
756,trump
757,biden
758,trump
759,biden
760,biden
761,biden
762,biden
763,biden
764,biden
765,biden
766,trump
767,trump
768,trump
769,trump
770,biden
771,biden
772,biden
773,biden
774,biden
775,biden
776,trump
777,trump
778,trump
779,biden
780,biden
781,trump
782,biden
783,biden
784,biden
785,biden
786,biden
787,biden
788,biden
789,biden
790,biden
791,trump
792,biden
793,biden
794,biden
795,biden
796,trump
797,trump
798,trump
799,biden
800,biden
801,trump
802,biden
803,trump
804,trump
805,trump
806,biden
807,biden
808,trump
809,biden
810,biden
811,trump
812,trump
813,biden
814,trump
815,trump
816,trump
817,biden
818,trump
819,biden
820,biden
821,trump
822,biden
823,biden
824,biden
825,trump
826,biden
827,biden
828,biden
829,biden
830,biden
831,biden
832,trump
833,biden
834,trump
835,trump
836,trump
837,trump
838,trump
839,biden
840,biden
841,trump
842,biden
843,biden
844,biden
845,trump
846,trump
847,trump
848,biden
849,biden
850,trump
851,trump
852,trump
853,trump
854,biden
855,trump
856,biden
857,biden
858,trump
859,trump
860,biden
861,trump
862,biden
863,trump
864,biden
865,trump
866,biden
867,biden
868,biden
869,biden
870,biden
871,biden
872,biden
873,trump
874,trump
875,biden
876,trump
877,trump
878,trump
879,biden
880,biden
881,trump
882,biden
883,biden
884,biden
885,biden
886,trump
887,trump
888,biden
889,biden
890,biden
891,trump
892,biden
893,biden
894,trump
895,trump
896,trump
897,trump
898,trump
899,trump
900,biden
901,biden
902,biden
903,trump
904,trump
905,biden
906,trump
907,biden
908,trump
909,trump
910,trump
911,biden
912,trump
913,biden
914,trump
915,biden
916,trump
917,trump
918,biden
919,biden
920,biden
921,biden
922,trump
923,biden
924,biden
925,trump
926,biden
927,biden
928,trump
929,biden
930,trump
931,trump
932,trump
933,trump
934,biden
935,biden
936,biden
937,biden
938,biden
939,biden
940,biden
941,trump
942,trump
943,biden
944,biden
945,biden
946,biden
947,biden
948,trump
949,trump
950,trump
951,biden
952,trump
953,biden
954,trump
955,trump
956,biden
957,biden
958,trump
959,trump
960,biden
961,biden
962,biden
963,biden
964,biden
965,biden
966,biden
967,trump
968,trump
969,trump
970,trump
971,trump
972,trump
973,trump
974,biden
975,biden
976,trump
977,trump
978,biden
979,trump
980,biden
981,trump
982,biden
983,biden
984,biden
985,biden
986,biden
987,biden
988,biden
989,trump
990,biden
991,biden
992,biden
993,trump
994,trump
995,biden
996,biden
997,biden
998,biden
999,biden
